epoch,timestamp_ms,tag1_anchor_count,tag1_avg_rssi,tag1_solve_ok,tag1_x,tag1_y,tag1_z,tag1_rmse_m,tag2_anchor_count,tag2_avg_rssi,tag2_solve_ok,tag2_x,tag2_y,tag2_z,tag2_rmse_m,fused_tag,fused_x,fused_y,fused_z,fused_rmse_m,flags
0,98269.5,5,-83.283,True,2.6417,-1.6311,1.5359,0.1924,4,-82.729,True,2.784,-1.1227,-0.1994,0.4056,1,2.6417,-1.6311,1.5359,0.1924,weak_height_geometry
1,98775.0,4,-84.528,True,2.7708,-1.8161,1.4459,0.0798,5,-86.198,True,2.727,-1.5883,-0.3,1.7272,1,2.6869,-1.6959,1.5044,0.0798,weak_height_geometry
2,99115.5,3,-84.737,False,,,,,4,-84.971,True,2.7146,-1.6956,-0.3,1.8849,2,,,,1.8849,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
3,99465.0,3,-85.907,False,,,,,4,-84.456,True,2.879,-1.8759,-0.3,1.611,2,,,,1.611,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
4,99865.0,3,-84.837,False,,,,,4,-84.555,True,2.9203,-2.0004,-0.3,1.2915,2,2.9203,-2.0004,-0.3,1.2915,tag1_no_3d_fix;tag2_saves_epoch;trajectory_reset_after_gap;height_jump_warning;high_residual_warning
5,100265.0,3,-85.293,False,,,,,4,-85.396,True,2.9319,-2.0504,-0.3,0.9397,2,2.9243,-2.0179,-0.3,0.9397,tag1_no_3d_fix;tag2_saves_epoch;high_residual_warning
6,100665.0,3,-84.518,False,,,,,4,-85.219,True,2.9449,-2.0542,-0.3,0.5805,2,2.9315,-2.0306,-0.3,0.5805,tag1_no_3d_fix;tag2_saves_epoch
7,101070.0,3,-84.186,False,,,,,4,-85.108,True,3.001,-2.152,-0.3,0.2851,2,2.9559,-2.0731,-0.3,0.2851,tag1_no_3d_fix;tag2_saves_epoch
8,101295.0,3,-84.142,False,,,,,4,-85.064,True,3.1608,-2.492,0.3819,0.1584,2,3.0276,-2.2197,-0.0614,0.1584,tag1_no_3d_fix;tag2_saves_epoch
9,101690.5,3,-84.311,False,,,,,4,-85.114,True,3.2816,-2.7635,1.4629,0.0575,2,,,,0.0575,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
10,101965.0,3,-84.856,False,,,,,4,-84.902,True,3.2859,-2.7687,1.4248,0.0604,2,,,,0.0604,tag1_no_3d_fix;tag2_saves_epoch;fused_jump_rejected
11,102465.0,3,-84.762,False,,,,,4,-85.205,True,3.2772,-2.7755,1.4116,0.0557,2,3.2772,-2.7755,1.4116,0.0557,tag1_no_3d_fix;tag2_saves_epoch;trajectory_reset_after_gap;height_jump_warning;weak_height_geometry
12,102865.0,3,-84.543,False,,,,,4,-84.866,True,3.2856,-2.7666,1.4343,0.0529,2,3.2801,-2.7724,1.4195,0.0529,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
13,103165.0,3,-84.138,False,,,,,4,-84.622,True,3.2915,-2.7663,1.4407,0.0531,2,3.2841,-2.7703,1.4269,0.0531,tag1_no_3d_fix;tag2_saves_epoch;weak_height_geometry
