kind,timestamp_ms,tag_id,x_m,y_m,z_m,mode,anchor_count,rmse_m,max_error_m,avg_anchor_rssi_dbm,quality,held,motion_rejected,raw_x_m,raw_y_m,raw_z_m,z_candidates,z_mode,used_anchors,rejected_anchors,line_num
tag,69322.000,2,-0.589048,-0.824512,1.700000,xy_robust_height_locked_drop_1-4,5,1.252438,1.576646,-84.115,3.986749,0,0,-0.589048,-0.824512,1.700000,,,2|3|5,1|4,8
tag,69458.000,1,1.273706,-2.000000,1.700000,xy_robust_height_locked_drop_1,4,0.806818,0.985213,-85.593,16.837804,0,0,1.273706,-2.000000,1.700000,,,2|4|5,1,9
tag,69522.000,2,-0.200849,-1.043585,1.700000,xy_robust_height_locked_drop_1-4,5,1.154029,1.537323,-81.801,7.748611,0,0,-0.200849,-1.043585,1.700000,,,2|3|5,1|4,10
tag,69658.000,1,1.352640,-2.000000,1.700000,xy_robust_height_locked_drop_1,4,0.789472,0.970570,-85.611,17.352079,0,0,1.352640,-2.000000,1.700000,,,2|4|5,1,11
tag,69722.000,2,0.090120,-1.335544,1.700000,xy_robust_height_locked_drop_1-4,5,1.016684,1.288075,-83.861,11.147988,0,0,0.090120,-1.335544,1.700000,,,2|3|5,1|4,12
tag,69823.000,1,4.291270,-2.000000,1.700000,xy_robust_height_locked,3,0.583921,0.885024,-84.462,23.920835,0,0,4.291270,-2.000000,1.700000,,,1|2|5,,13
tag,69922.000,2,0.397080,-1.429495,1.700000,xy_robust_height_locked_drop_1-4,5,0.852674,1.167059,-84.039,16.006186,0,0,0.397080,-1.429495,1.700000,,,2|3|5,1|4,14
tag,70017.000,1,2.896291,-2.000000,0.316435,3d_robust_wls,4,0.341664,0.499397,-86.240,42.565904,0,0,2.896291,-2.000000,0.316435,,,1|2|4|5,,15
tag,70127.000,2,2.269756,-2.000000,1.700000,xy_robust_height_locked_drop_4,4,0.530649,0.757318,-83.811,25.746658,0,0,2.269756,-2.000000,1.700000,,,1|2|5,4,16
tag,70217.000,1,2.406120,-1.930023,0.316435,xy_robust_height_locked_drop_4,4,0.211235,0.316991,-83.975,35.271719,0,0,2.406120,-1.930023,0.316435,,,1|2|5,4,17
tag,70327.000,2,2.145254,-2.000000,0.238937,3d_robust_wls,4,0.299001,0.427951,-82.240,45.246033,0,0,2.145254,-2.000000,0.238937,,,1|2|4|5,,18
tag,70427.000,1,2.290195,-1.712821,0.316435,xy_robust_height_locked_drop_5,4,0.241514,0.335237,-84.429,34.204517,0,0,2.290195,-1.712821,0.316435,,,1|2|4,5,19
tag,70558.000,2,2.155073,-1.878922,0.238937,xy_robust_height_locked_drop_5,4,0.203607,0.274901,-80.912,36.572494,0,0,2.155073,-1.878922,0.238937,,,1|2|4,5,20
tag,70627.000,1,2.269848,-1.927612,1.502659,3d_robust_wls,4,0.148205,0.173986,-85.197,48.734743,0,0,2.269848,-1.927612,1.502659,,,1|2|4|5,,21
tag,70758.000,2,2.052259,-1.695449,0.238937,xy_robust_height_locked_drop_5,4,0.221902,0.295640,-81.429,35.842846,0,0,2.052259,-1.695449,0.238937,,,1|2|4,5,22
tag,70823.000,1,2.143241,-1.741186,1.502659,xy_robust_height_locked,3,0.174507,0.250709,-82.041,37.050282,0,0,2.143241,-1.741186,1.502659,,,1|2|5,,23
tag,70917.000,2,1.071707,-1.930150,0.238937,xy_robust_height_locked_drop_2,4,0.009231,0.012438,-82.244,41.937633,0,0,1.071707,-1.930150,0.238937,,,1|4|5,2,24
tag,71023.000,1,2.032037,-1.591350,1.502659,xy_robust_height_locked,3,0.190327,0.271533,-80.945,36.959362,0,0,2.032037,-1.591350,1.502659,,,1|2|5,,25
tag,71117.000,2,1.879918,-1.821056,1.520297,3d_robust_wls,4,0.151367,0.213774,-81.952,49.775734,0,0,1.879918,-1.821056,1.520297,,,1|2|4|5,,26
tag,71213.000,1,1.818568,-1.378104,1.502659,xy_robust_height_locked,3,0.219094,0.308739,-83.123,35.334169,0,0,1.818568,-1.378104,1.502659,,,1|2|5,,27
tag,71317.000,2,1.757806,-1.610216,1.513583,3d_robust_wls,4,0.128255,0.148189,-83.116,50.061794,0,0,1.757806,-1.610216,1.513583,,,1|2|4|5,,28
tag,71413.000,1,1.702744,-1.165053,1.502659,xy_robust_height_locked,3,0.207730,0.289430,-79.380,36.985234,0,0,1.702744,-1.165053,1.502659,,,1|2|5,,29
tag,71517.000,2,1.649235,-1.403349,1.535170,3d_robust_wls,4,0.119231,0.144646,-82.298,50.618866,0,0,1.649235,-1.403349,1.535170,,,1|2|4|5,,30
tag,71613.000,1,1.566493,-0.851374,1.502659,xy_robust_height_locked,3,0.233526,0.316741,-78.417,36.548260,0,0,1.566493,-0.851374,1.502659,,,1|2|5,,31
tag,71717.000,2,1.579663,-1.210730,1.559555,3d_robust_wls,4,0.140600,0.169240,-79.829,50.841878,0,0,1.579663,-1.210730,1.559555,,,1|2|4|5,,32
tag,71853.000,1,1.439576,-0.656167,1.502659,xy_robust_height_locked,3,0.241748,0.320792,-74.994,37.499527,0,0,1.439576,-0.656167,1.502659,,,1|2|5,,33
tag,71917.000,2,1.482014,-1.034984,1.596109,3d_robust_wls,4,0.128331,0.173651,-78.970,51.510594,0,0,1.482014,-1.034984,1.596109,,,1|2|4|5,,34
tag,72053.000,1,1.360087,-0.512181,1.502659,xy_robust_height_locked,3,0.258906,0.346180,-73.819,37.396350,0,0,1.360087,-0.512181,1.502659,,,1|2|5,,35
tag,72117.000,2,1.341742,-0.899136,1.617078,3d_robust_wls,4,0.143685,0.195942,-80.352,50.566115,0,0,1.341742,-0.899136,1.617078,,,1|2|4|5,,36
tag,72213.000,1,1.238558,-0.364782,1.502659,xy_robust_height_locked,3,0.296318,0.403486,-71.997,36.911429,0,0,1.238558,-0.364782,1.502659,,,1|2|5,,37
tag,72317.000,2,1.242729,-0.738748,1.624001,3d_robust_wls,4,0.129691,0.175210,-79.917,51.138149,0,0,1.242729,-0.738748,1.624001,,,1|2|4|5,,38
tag,72413.000,1,1.123881,-0.239113,1.502659,xy_robust_height_locked,3,0.272525,0.310057,-71.642,37.749512,0,0,1.123881,-0.239113,1.502659,,,1|2|5,,39
tag,72522.000,2,1.159601,-0.590799,1.627558,3d_robust_wls_drop_3,5,0.105737,0.145022,-80.906,51.510744,0,0,1.159601,-0.590799,1.627558,,,1|2|4|5,3,40
tag,72613.000,1,1.038554,-0.061971,1.502659,xy_robust_height_locked,3,0.244418,0.287147,-72.070,38.442829,0,0,1.038554,-0.061971,1.502659,,,1|2|5,,41
tag,72727.000,2,0.998058,-0.508680,1.633370,3d_robust_wls,4,0.045241,0.066186,-78.281,54.244510,0,0,0.998058,-0.508680,1.633370,,,1|2|4|5,,42
tag,72823.000,1,0.963896,0.040362,1.502659,xy_robust_height_locked,3,0.262289,0.313090,-70.375,38.500202,0,0,0.963896,0.040362,1.502659,,,1|2|5,,43
tag,72968.000,2,0.934467,-0.438514,1.766938,3d_robust_wls,4,0.001798,0.002959,-78.809,55.363027,0,0,0.934467,-0.438514,1.766938,,,1|2|4|5,,44
tag,73027.000,1,0.870883,0.073467,1.502659,xy_robust_height_locked_drop_4,4,0.254439,0.314170,-72.794,37.888962,0,0,0.870883,0.073467,1.502659,,,1|2|5,4,45
tag,73158.000,2,0.867434,-0.350382,1.869241,3d_robust_wls,4,0.019184,0.031897,-76.815,55.539115,0,0,0.867434,-0.350382,1.869241,,,1|2|4|5,,46
tag,73223.000,1,0.698519,0.115596,1.502659,xy_robust_height_locked,3,0.254090,0.332756,-72.665,37.944600,0,0,0.698519,0.115596,1.502659,,,1|2|5,,47
tag,73317.000,2,0.819103,-0.308586,1.928822,3d_robust_wls,4,0.029155,0.044087,-75.656,55.645803,0,0,0.819103,-0.308586,1.928822,,,1|2|4|5,,48
tag,73417.000,1,0.600600,0.116117,1.502659,xy_robust_height_locked_drop_4,4,0.223717,0.297531,-76.906,37.371362,0,0,0.600600,0.116117,1.502659,,,1|2|5,4,49
tag,73517.000,2,0.709357,-0.294789,2.103252,3d_robust_wls,4,0.039245,0.063692,-75.451,55.414730,0,0,0.709357,-0.294789,2.103252,,,1|2|4|5,,50
tag,73617.000,1,0.621813,-0.178923,1.661571,3d_robust_wls,4,0.353129,0.554488,-76.567,45.607670,0,0,0.621813,-0.178923,1.661571,,,1|2|4|5,,51
tag,73717.000,2,0.619478,-0.270001,2.014339,3d_robust_wls,4,0.045750,0.072694,-75.094,55.344609,0,0,0.619478,-0.270001,2.014339,,,1|2|4|5,,52
tag,73831.000,1,0.621813,-0.178923,1.661571,hold_previous,2,,,-70.810,-1000000.000000,1,0,0.621813,-0.178923,1.661571,,,,1|2,53
tag,73917.000,2,0.579897,-0.252756,1.836199,3d_robust_wls,4,0.054006,0.085461,-75.049,55.112621,0,0,0.579897,-0.252756,1.836199,,,1|2|4|5,,54
tag,74017.000,1,0.535850,-0.063573,1.677532,3d_robust_wls,4,0.186282,0.272632,-76.998,50.462251,0,0,0.535850,-0.063573,1.677532,,,1|2|4|5,,55
tag,74117.000,2,0.529714,-0.275177,1.819437,3d_robust_wls,4,0.074975,0.118867,-75.719,54.249017,0,0,0.529714,-0.275177,1.819437,,,1|2|4|5,,56
tag,74258.000,1,0.505216,-0.018198,1.684896,3d_robust_wls,4,0.116367,0.143122,-76.235,52.826837,0,0,0.505216,-0.018198,1.684896,,,1|2|4|5,,57
tag,74317.000,2,0.492408,-0.298574,1.851829,3d_robust_wls,4,0.091320,0.149875,-74.781,54.087197,0,0,0.492408,-0.298574,1.851829,,,1|2|4|5,,58
tag,74458.000,1,0.465270,-0.019994,1.688214,3d_robust_wls,4,0.098256,0.133169,-75.630,53.581715,0,0,0.465270,-0.019994,1.688214,,,1|2|4|5,,59
tag,74517.000,2,0.470376,-0.311612,1.824374,3d_robust_wls,4,0.093054,0.155596,-75.715,53.708260,0,0,0.470376,-0.311612,1.824374,,,1|2|4|5,,60
